student	problem	step	outcome	fold	KCs	*features_2236	*features_2252	*features_2325	*features_2515	*features_2520	*features_2521	*features_2522	*features_2526	*features_2528	*features_2534	*features_2548	*features_2551	*features_2606	*features_2619	*features_2640	*features_2641	*features_2642	*features_2643	*features_2644	*features_2645	*features_2646	*features_2647	*features_2648	*features_2649	*features_2650	*features_2652	*features_2653	*features_2655	*features_2656	*features_2660	*features_2661	*features_2662	*features_2664	*features_2665	*features_2666	*features_2667	*features_2668	*features_2669	*features_2670	*features_2671	*features_2673	*features_2674	*features_2675	*features_2676	*features_2755	*features_2759	*features_2760	*features_2761	*features_2762	*features_2763	*features_2765	*features_2766	*features_2767	*features_2768	*features_2769	*features_2772	*features_2773	*features_2774	*features_2777	*features_2778	*features_2780	*features_2781	*features_2782	*features_2783	*features_2784	*features_2785	*features_2787	*features_2788	*features_2789	*features_2791	*features_2792	*features_2795	*features_2797	*features_2801	*features_2802	*features_2804	*features_2805	*features_2806	*features_2807	*features_2808	*features_2809	*features_2810	*features_2811	*features_2812	*features_2985	*features_2986	*features_2989	*features_2991	*features_2992	*features_2996	*features_2997	*features_2998	*features_2999	*features_3000	*features_3001	*features_3002	*features_3003	*features_3006	*features_3007	*features_3011	*features_3012	*features_3013	*features_3018	*features_3019	*features_3020	*features_3021	*features_3022	*features_3027	*features_3082	*features_3086	*features_j2D_Arrays1	*features_j2D_Arrays2	*features_j2D_arrays3	*features_j2D_arrays4	*features_jArray1	*features_jArray2	*features_jArray3	*features_jArray4	*features_jArray5	*features_jArrayList1	*features_jArrayList2	*features_jArrayList3	*features_jArrayList4	*features_jArrayList5	*features_jBa_ques	*features_jBankAccount	*features_jBoolean_Method	*features_jBoolean_Operators	*features_jBoolean_Operators2	*features_jBoolean_Operators3	*features_jBoolean_Var	*features_jClass1	*features_jClasses4	*features_jClasses_Getter	*features_jConstants1	*features_jConstants2	*features_jConstants3	*features_jConstants4	*features_jConstants5	*features_jDouble1	*features_jDowhile1	*features_jDowhile2	*features_jDowhile3	*features_jDowhile4	*features_jDowhile6	*features_jDowhile8	*features_jFor1	*features_jFor2	*features_jFor3	*features_jFor4	*features_jFor5	*features_jIfelse1	*features_jIfelse2	*features_jIfelse3	*features_jIfelse4	*features_jIfelse5	*features_jIncrement	*features_jInheritance1	*features_jInheritance2	*features_jInheritance3	*features_jInheritance4	*features_jInheritance5	*features_jInheritance6	*features_jInt_Long	*features_jInteger1	*features_jInterfaces1	*features_jInterfaces2	*features_jInterfaces3	*features_jInterfaces4	*features_jInterfaces5	*features_jMathFuc1	*features_jMathFuc2	*features_jNested1	*features_jNested2	*features_jNested3	*features_jObjects1	*features_jObjects2	*features_jObjects3	*features_jObjects4	*features_jObjects5	*features_jOperator1	*features_jPrimitive_Float	*features_jString1	*features_jString2	*features_jString3	*features_jString4	*features_jString5	*features_jString6	*features_jString_to_Double	*features_jString_to_Int	*features_jVariable1	*features_jVariables1	*features_jVariables2	*features_jVariables3	*features_jVariables4	*features_jVariables5	*features_jWhile1	*features_jWhile2	*features_jWhile3	*features_jWhile4	*features_jWhile5	*features_jWrapper_Class1	*features_jWrapper_Class2	*features_jWrapper_Class3	*features_jWrapper_Class4
2236	jVariable1	30	correct	-1	Arithmetic_Operations	1	0	NULL	0	0	NULL	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	NULL	0	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	NULL	NULL	0	0	NULL	0	NULL	0	0	0	NULL	0	0	NULL	NULL	0	NULL	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	NULL	0	NULL	NULL	0	NULL	0	0	0	0	0	0	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2236	jMathFuc1	31	correct	-1	Arithmetic_Operations	1	0	NULL	0	0	NULL	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	NULL	0	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	NULL	NULL	0	0	NULL	0	NULL	0	0	0	NULL	0	0	NULL	NULL	0	NULL	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	NULL	0	NULL	NULL	0	NULL	0	0	0	0	0	0	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2236	jMathFuc2	32	correct	-1	Arithmetic_Operations	1	0	NULL	0	0	NULL	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	NULL	0	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	NULL	NULL	0	0	NULL	0	NULL	0	0	0	NULL	0	0	NULL	NULL	0	NULL	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	NULL	0	NULL	NULL	0	NULL	0	0	0	0	0	0	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2236	jOperator1	33	incorrect	-1	Arithmetic_Operations	1	0	NULL	0	0	NULL	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	NULL	0	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	NULL	NULL	0	0	NULL	0	NULL	0	0	0	NULL	0	0	NULL	NULL	0	NULL	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	NULL	0	NULL	NULL	0	NULL	0	0	0	0	0	0	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2236	jIncrement	35	incorrect	1	Arithmetic_Operations	1	0	NULL	0	0	NULL	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	NULL	0	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	NULL	NULL	0	0	NULL	0	NULL	0	0	0	NULL	0	0	NULL	NULL	0	NULL	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	NULL	0	NULL	NULL	0	NULL	0	0	0	0	0	0	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2252	jIncrement	421	correct	-1	Arithmetic_Operations	0	1	NULL	0	0	NULL	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	NULL	0	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	NULL	NULL	0	0	NULL	0	NULL	0	0	0	NULL	0	0	NULL	NULL	0	NULL	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	NULL	0	NULL	NULL	0	NULL	0	0	0	0	0	0	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2252	jOperator1	418	correct	-1	Arithmetic_Operations	0	1	NULL	0	0	NULL	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	NULL	0	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	NULL	NULL	0	0	NULL	0	NULL	0	0	0	NULL	0	0	NULL	NULL	0	NULL	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	NULL	0	NULL	NULL	0	NULL	0	0	0	0	0	0	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2252	jMathFuc2	413	correct	-1	Arithmetic_Operations	0	1	NULL	0	0	NULL	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	NULL	0	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	NULL	NULL	0	0	NULL	0	NULL	0	0	0	NULL	0	0	NULL	NULL	0	NULL	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	NULL	0	NULL	NULL	0	NULL	0	0	0	0	0	0	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2252	jVariable1	387	incorrect	-1	Arithmetic_Operations	0	1	NULL	0	0	NULL	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	NULL	0	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	NULL	0	0	NULL	NULL	0	0	NULL	0	NULL	0	0	0	NULL	0	0	NULL	NULL	0	NULL	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	NULL	0	NULL	NULL	0	NULL	0	0	0	0	0	0	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2236	jBoolean_Var	59	correct	-1	Boolean_Expressions	1	0	NULL	0	0	NULL	0	NULL	0	NULL	0	NULL	0	0	0	0	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	0	0	NULL	0	0	0	0	0	NULL	NULL	NULL	0	NULL	0	0	0	NULL	NULL	NULL	0	0	0	0	0	0	NULL	NULL	0	NULL	0	0	NULL	NULL	0	0	NULL	NULL	0	0	NULL	0	0	0	NULL	0	NULL	NULL	0	NULL	0	0	0	0	0	0	0	NULL	0	NULL	NULL	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
